iid,title,genres
40,Toy Story (1995),Animation|Children's|Comedy
177,Jumanji (1995),Adventure|Children's|Fantasy
1062,Grumpier Old Men (1995),Comedy|Romance
2117,Waiting to Exhale (1995),Comedy|Drama
1778,Father of the Bride Part II (1995),Comedy
742,Heat (1995),Action|Crime|Thriller
953,Sabrina (1995),Comedy|Romance
2184,Tom and Huck (1995),Adventure|Children's
1663,Sudden Death (1995),Action
195,GoldenEye (1995),Action|Adventure|Thriller
772,"American President, The (1995)",Comedy|Drama|Romance
2518,Dracula: Dead and Loving It (1995),Comedy|Horror
2263,Balto (1995),Animation|Children's
1745,Nixon (1995),Drama
1555,Cutthroat Island (1995),Action|Adventure|Romance
634,Casino (1995),Drama|Thriller
464,Sense and Sensibility (1995),Drama|Romance
1686,Four Rooms (1995),Thriller
1853,Ace Ventura: When Nature Calls (1995),Comedy
1610,Money Train (1995),Action
145,Get Shorty (1995),Action|Comedy|Drama
1859,Copycat (1995),Crime|Drama|Thriller
1037,Assassins (1995),Thriller
295,Powder (1995),Drama|Sci-Fi
1230,Leaving Las Vegas (1995),Drama|Romance
476,Othello (1995),Drama
1860,Now and Then (1995),Drama
939,Persuasion (1995),Romance
477,"City of Lost Children, The (1995)",Adventure|Sci-Fi
305,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama
2289,Dangerous Minds (1995),Drama
306,Twelve Monkeys (1995),Drama|Sci-Fi
309,Babe (1995),Children's|Comedy|Drama
2443,Carrington (1995),Drama|Romance
1237,Dead Man Walking (1995),Drama
3048,Across the Sea of Time (1995),Documentary
3075,It Takes Two (1995),Comedy
659,Clueless (1995),Comedy|Romance
3392,"Cry, the Beloved Country (1995)",Drama
1720,Richard III (1995),Drama|War
1650,Dead Presidents (1995),Action|Crime|Drama
1869,Restoration (1995),Drama
501,Mortal Kombat (1995),Action|Adventure
799,To Die For (1995),Comedy|Drama
2695,How to Make an American Quilt (1995),Drama|Romance
503,Seven (Se7en) (1995),Crime|Thriller
25,Pocahontas (1995),Animation|Children's|Musical|Romance
2859,When Night Is Falling (1995),Drama|Romance
213,"Usual Suspects, The (1995)",Crime|Thriller
801,Mighty Aphrodite (1995),Comedy
2861,Lamerica (1994),Drama
1329,"Big Green, The (1995)",Children's|Comedy
2746,Georgia (1995),Drama
1876,Home for the Holidays (1995),Drama
1653,"Postino, Il (The Postman) (1994)",Drama|Romance
2862,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery
217,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy
2635,Eye for an Eye (1996),Drama|Thriller
1878,Mr. Holland's Opus (1995),Drama
2046,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy
2600,Two if by Sea (1996),Comedy|Romance
692,Bio-Dome (1996),Comedy
2668,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller
2223,French Twist (Gazon maudit) (1995),Comedy|Romance
2027,Friday (1995),Comedy
697,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller
2603,Fair Game (1995),Action
2394,Kicking and Screaming (1995),Comedy|Drama
1600,"Misérables, Les (1995)",Drama|Musical
1888,Bed of Roses (1996),Drama|Romance
2604,Big Bully (1996),Comedy|Drama
347,Screamers (1995),Sci-Fi|Thriller
3019,Nico Icon (1995),Documentary
1266,"Crossing Guard, The (1995)",Drama
1267,"Juror, The (1996)",Drama|Thriller
2868,"White Balloon, The (Badkonake Sefid ) (1995)",Drama
711,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance
1270,Antonia's Line (Antonia) (1995),Drama
3288,Once Upon a Time... When We Were Colored (1995),Drama
2869,Last Summer in the Hamptons (1995),Comedy|Drama
1271,Angels and Insects (1995),Drama|Romance
543,White Squall (1996),Adventure|Drama
2174,Dunston Checks In (1996),Children's|Comedy
2029,Black Sheep (1996),Comedy
1586,Nick of Time (1995),Action|Thriller
2872,"Journey of August King, The (1995)",Drama
2226,Mary Reilly (1996),Drama|Thriller
2669,Vampire in Brooklyn (1995),Comedy|Romance
1401,Beautiful Girls (1996),Drama
130,Broken Arrow (1996),Action|Thriller
3135,In the Bleak Midwinter (1995),Comedy
2455,"Hate (Haine, La) (1995)",Drama
2227,Heidi Fleiss: Hollywood Madam (1995),Documentary
1156,City Hall (1996),Drama|Thriller
2077,Bottle Rocket (1996),Comedy
2137,Mr. Wrong (1996),Comedy
3180,Unforgettable (1996),Thriller
704,Happy Gilmore (1996),Comedy
1157,"Bridges of Madison County, The (1995)",Drama|Romance
2715,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
1418,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical
3181,Catwalk (1995),Documentary
92,Braveheart (1995),Action|Drama|War
715,Taxi Driver (1976),Drama|Thriller
716,Rumble in the Bronx (1995),Action|Adventure|Crime
1825,Before and After (1996),Drama|Mystery
2262,Margaret's Museum (1995),Drama
2754,Anne Frank Remembered (1995),Documentary
3070,"Young Poisoner's Handbook, The (1995)",Crime
2632,If Lucy Fell (1996),Comedy|Romance
1827,"Steal Big, Steal Little (1995)",Comedy
2898,Race the Sun (1996),Drama
2653,"Boys of St. Vincent, The (1993)",Drama
1170,Boomerang (1992),Comedy|Romance
2138,Chungking Express (1994),Drama|Mystery|Romance
824,Flirting With Disaster (1996),Comedy
1906,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy
3322,Jupiter's Wife (1994),Documentary
2716,Pie in the Sky (1995),Comedy|Romance
3182,Frankie Starlight (1995),Drama|Romance
1176,Jade (1995),Thriller
2012,Down Periscope (1996),Comedy
2508,Man of the Year (1995),Documentary
2432,Up Close and Personal (1996),Drama|Romance
1182,"Birdcage, The (1996)",Comedy
1031,"Brothers McMullen, The (1995)",Comedy
576,Bad Boys (1995),Action
2740,"Amazing Panda Adventure, The (1995)",Adventure|Children's
2140,"Basketball Diaries, The (1995)",Drama
2433,"Awfully Big Adventure, An (1995)",Drama
2718,Amateur (1994),Crime|Drama|Thriller
39,Apollo 13 (1995),Drama
1363,Rob Roy (1995),Drama|Romance|War
2756,"Addiction, The (1995)",Horror
178,Batman Forever (1995),Action|Adventure|Comedy|Crime
2216,Belle de jour (1967),Drama
2851,Beyond Rangoon (1995),Drama|War
2142,Blue in the Face (1995),Comedy
2590,Canadian Bacon (1994),Comedy|War
402,Casper (1995),Adventure|Children's
2390,Clockers (1995),Drama
1530,Congo (1995),Action|Adventure|Mystery|Sci-Fi
596,Crimson Tide (1995),Drama|Thriller|War
257,Crumb (1994),Documentary
144,Desperado (1995),Action|Romance|Thriller
259,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
146,Die Hard: With a Vengeance (1995),Action|Thriller
1307,"Doom Generation, The (1995)",Comedy|Drama
2437,Feast of July (1995),Drama
419,First Knight (1995),Action|Adventure|Drama|Romance
1532,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama
1539,Hackers (1995),Action|Crime|Thriller
2512,Jeffrey (1995),Comedy
1202,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
609,Judge Dredd (1995),Action|Adventure|Sci-Fi
2592,Jury Duty (1995),Comedy
1844,Kids (1995),Drama
2531,Living in Oblivion (1995),Comedy
2391,Lord of Illusions (1995),Horror
2513,Love & Human Remains (1993),Comedy
2694,Mad Love (1995),Drama|Romance
617,Mallrats (1995),Comedy
1544,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's
1211,Moonlight and Valentino (1995),Drama|Romance
3072,Mute Witness (1994),Thriller
2721,Nadja (1994),Drama
622,"Net, The (1995)",Sci-Fi|Thriller
1742,Nine Months (1995),Comedy
766,Party Girl (1995),Comedy
2393,"Prophecy, The (1995)",Horror
3026,Reckless (1995),Comedy
2146,Safe (1995),Thriller
2945,"Scarlet Letter, The (1995)",Drama
1851,Showgirls (1995),Drama
1644,Smoke (1995),Drama
1852,Something to Talk About (1995),Comedy|Drama|Romance
775,Species (1995),Horror|Sci-Fi
2854,"Stars Fell on Henrietta, The (1995)",Drama
288,Strange Days (1995),Action|Crime|Sci-Fi
2060,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical
2918,"Tie That Binds, The (1995)",Thriller
1604,Three Wishes (1995),Drama
2407,Total Eclipse (1995),Drama|Romance
1722,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
1512,Under Siege 2: Dark Territory (1995),Action
1736,Unstrung Heroes (1995),Comedy|Drama
1421,Unzipped (1995),Documentary
1177,"Walk in the Clouds, A (1995)",Drama|Romance
569,Waterworld (1995),Action|Adventure
2551,White Man's Burden (1995),Drama
3113,Wild Bill (1995),Western
2408,"Browning Version, The (1994)",Drama
3036,Bushwhacked (1995),Comedy
1396,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama
2802,Before the Rain (Pred dozhdot) (1994),Drama
2267,Before Sunrise (1995),Drama|Romance
575,Billy Madison (1995),Comedy
2702,"Babysitter, The (1995)",Drama|Thriller
2069,Boys on the Side (1995),Comedy|Drama
3154,"Cure, The (1995)",Drama
2940,Castle Freak (1995),Horror
401,Circle of Friends (1995),Drama|Romance
251,Clerks (1994),Comedy
1190,Don Juan DeMarco (1995),Comedy|Drama|Romance
1191,Disclosure (1994),Drama|Thriller
3374,Dream Man (1995),Thriller
1528,Drop Zone (1994),Action
3247,Destiny Turns on the Radio (1995),Comedy
2620,Death and the Maiden (1994),Drama|Thriller
594,Dolores Claiborne (1994),Drama|Thriller
595,Dumb & Dumber (1994),Comedy
415,Eat Drink Man Woman (1994),Comedy|Drama
1448,Exotica (1994),Drama
