iid,title,genres
17,standing studio in front of LOUVRE,Entire apartment
103,appartement centre Sopi Montmartre,Entire apartment
55,"Charming studio, heart of the Marais, view 4* !",Entire apartment
66,Charming  furnished studio in Paris,Entire apartment
111,Beau Studio 21mÃÂ² Paris Gobelins,Entire apartment
269,Charmant duplex - Paris 20ÃÂ¨me,Entire apartment
91,Charming appt 2PC-Grands Boulevards,Entire apartment
150,"Cosy 2 rooms flat,  ""gare de Lyon""",Entire apartment
140,Beau 48m2 + balcon -Buttes-Chaumont,Entire apartment
119,Charming flat in the heart of Paris,Entire apartment
176,Artist sanctuary in the Marais,Entire apartment
211,"Appartement Paris centre, Bastille",Entire apartment
231,Nid Douillet,Entire apartment
174,Calm & cosy flat near the Effeil Tower & Trocadero,Entire apartment
72,4 pers Marais Place des Vosges,Entire apartment
196,Charmant 3 piÃÂ¨ces LaumiÃÂ¨re avec chambre bebe,Entire apartment
169,Great apartment with 2 terraces rue Mouffetard,Entire apartment
205,Charming apartment between Opera and Bastille - Professional Cleaning,Entire apartment
128,Lovely studio in the Heart of Paris,Entire apartment
309,Studio fonctionnel proche Place de la Bastille,Entire apartment
204,Studio cosy canal Saint Martin,Entire apartment
225,Lovely apartment - View on the Eiffel Tower,Entire apartment
166,2 piÃÂ¨ces typique Marais,Entire apartment
240,Charming bright studio apartment near Montmartre  - Professional Cleaning,Entire apartment
43,Superb apartment close to the Eiffel Tower - Professional Cleaning,Entire apartment
107,F2 Parc de Belleville,Entire apartment
178,Confortable 2P 33 m2 bd voltaire,Entire apartment
32,Gorgeous Views from Balcony + AC unit!!,Entire apartment
26,Appartement douillet et lumineux,Entire apartment
15,Superbe duplex refait ÃÂ  neuf au coeur de Paris .,Entire apartment
313,Charming private room 2 steps from Gare du Nord - Professional Cleaning,Entire apartment
398,Studio in Manhattan (UES),Entire apartment
252,High Floor apt.near Columbus Circle,Entire apartment
375,Your own hip and cozy 1BD apartment,Entire apartment
164,Champs Elysees-Arc de triomphe,Entire apartment
837,Beach-chic sun drenched apartment,Entire apartment
969,Luxury house in the center of Rome,Entire apartment
232,"Studio at Batignolles, 10min walk to Montmartre",Entire apartment
1129,Casa Diana Ostia,Entire apartment
440,Luxury Apt at Bangkok CBD nice area,Entire apartment
1050,Cozy apartment with sunny terrace,Entire apartment
113,"Near Arc de triomphe, Eiffel Tower",Entire apartment
251,Superb apt in the heart of Paris  - Professional Cleaning,Entire apartment
1111,LONGINVM DOMUS ROMANVM,Entire apartment
1048,Appartamento al Pantheon,Entire apartment
594,Casa de los cactus,Entire apartment
956,Apartment next to Colosseo,Entire apartment
1091,CASA PANTHEON,Entire apartment
397,Spacious & Stylish Top Floor 1BR (Whole Apt),Entire apartment
412,Entire Place in Prime Brooklyn Neighborhood,Entire apartment
160,"A 2-room charming, quiet and cozy artist's studio",Entire apartment
